Source,Target,Type,Pattern
scripts/calc-p95-latency.ps1,scripts\verify-pipeline.ps1,script-exec,44
scripts/canary-ecrr.ps1,scripts/canary-ecrr.ps1,script-exec,5
scripts/capture-dashboard-screenshot.ps1,scripts/publish-e2-results.ps1,script-exec,98
scripts/check-latency-readiness.ps1,scripts/generate-synthetic-load.ps1,script-exec,157
scripts/ci-ecrr-compliance.ps1,scripts/validate-ecrr-compliance.ps1,script-exec,25
scripts/ci-integration-setup.ps1,scripts/ci-ecrr-compliance.ps1,script-exec,47
scripts/ci-integration-setup.ps1,scripts/ci-ecrr-compliance.ps1,script-exec,129
scripts/ci-integration-setup.ps1,scripts/ci-ecrr-compliance.ps1,script-exec,131
scripts/ci-integration-setup.ps1,scripts/ci-ecrr-compliance.ps1,script-exec,174
scripts/cleanup-artifacts.ps1,scripts/cleanup-artifacts.ps1,script-exec,20
scripts/cleanup-artifacts.ps1,scripts/cleanup-artifacts.ps1,script-exec,23
scripts/comfort-cat-sanity-sweep.ps1,scripts\comfort-cat-sanity-sweep.ps1,script-exec,13
scripts/complete-setup.ps1,scripts/test-signoz-auth.ps1,script-exec,108
scripts/complete-setup.ps1,scripts/test-webhook.ps1,script-exec,122
scripts/complete-setup.ps1,scripts/verify-resonai.ps1,script-exec,145
scripts/complete-setup.ps1,scripts/test-webhook.ps1,script-exec,156
scripts/configure-alerts-manual.ps1,scripts/canary-test.ps1,script-exec,109
scripts/configure-ecrr-alerts.ps1,scripts/monitor-ecrr-alerts.ps1,script-exec,70
scripts/configure-ecrr-alerts.ps1,scripts/monitor-ecrr-alerts.ps1,script-exec,79
scripts/configure-ecrr-alerts.ps1,scripts/schedule-ecrr-trends.ps1,script-exec,80
scripts/configure-service-recovery.ps1,scripts\configure-service-recovery.ps1,script-exec,18
scripts/configure-service-recovery.ps1,scripts\configure-service-recovery.ps1,script-exec,21
scripts/configure-signoz-alerts.ps1,scripts/configure-signoz-alerts.ps1,script-exec,2
scripts/configure-webhook-url.ps1,scripts/configure-webhook-url.ps1,script-exec,33
scripts/configure-webhook-url.ps1,scripts/configure-webhook-url.ps1,script-exec,34
scripts/configure-webhook-url.ps1,scripts/configure-webhook-url.ps1,script-exec,35
scripts/configure-webhook-url.ps1,scripts/webhook-status.ps1,script-exec,240
scripts/configure-webhook-url.ps1,scripts/test-webhook.ps1,script-exec,241
scripts/configure-webhook-url.ps1,scripts/integrate-webhook-alerts.ps1,script-exec,242
scripts/continuous-improvement.ps1,scripts/ssot-usage-analysis.ps1,script-exec,228
scripts/continuous-improvement.ps1,scripts/ssot-performance-optimization.ps1,script-exec,381
scripts/continuous-improvement.ps1,scripts/ssot-monitoring-enhancement.ps1,script-exec,565
scripts/continuous-improvement.ps1,scripts/ssot-automation-improvement.ps1,script-exec,690
scripts/cursor-agent-monitor.ps1,scripts/cursor-agent-processor.ps1,script-exec,85
scripts/cursor-startup-signoz-enterprise-views.ps1,scripts\cursor-startup-signoz-enterprise-views.ps1,script-exec,41
scripts/deploy-ecrr-ci.ps1,scripts/lint-ecrr-compliance.ps1,script-exec,37
scripts/deploy-ecrr-ci.ps1,scripts/lint-ecrr-compliance.ps1,script-exec,87
scripts/deploy-ecrr-ci.ps1,scripts/lint-ecrr-compliance.ps1,script-exec,113
scripts/deploy-ecrr-ci.ps1,scripts/validate-ecrr-compliance.ps1,script-exec,114
scripts/deploy-gpu-sidecars.ps1,scripts/manage-gpu-sidecars.ps1,script-exec,71
scripts/deploy-gpu-sidecars.ps1,scripts/validate-production-gpu.ps1,script-exec,174
scripts/deploy-gpu-sidecars.ps1,scripts/validate-production-gpu.ps1,script-exec,213
scripts/deploy-gpu-sidecars.ps1,scripts/validate-production-gpu.ps1,script-exec,394
scripts/deploy-gpu-sidecars.ps1,scripts/test-gpu-sidecars.ps1,script-exec,418
scripts/deploy-gpu-sidecars.ps1,verify-integration.ps1,script-exec,421
scripts/deploy-gpu-sidecars.ps1,scripts/validate-production-gpu.ps1,script-exec,424
scripts/deploy-gpu-sidecars.ps1,scripts/gpu-watchdog.ps1,script-exec,430
scripts/deploy-gpu-sidecars.ps1,scripts/production-monitoring.ps1,script-exec,433
scripts/deploy-gpu-sidecars.ps1,scripts/manage-gpu-sidecars.ps1,script-exec,439
scripts/deploy-gpu-sidecars.ps1,scripts/manage-gpu-sidecars.ps1,script-exec,442
scripts/deploy-gpu-sidecars.ps1,scripts/manage-gpu-sidecars.ps1,script-exec,445
scripts/deploy-gpu-sidecars.ps1,scripts/manage-gpu-sidecars.ps1,script-exec,448
scripts/deploy-gpu-sidecars.ps1,scripts/manage-gpu-sidecars.ps1,script-exec,458
scripts/deploy-gpu-sidecars.ps1,scripts/manage-gpu-sidecars.ps1,script-exec,480
scripts/deploy-gpu-sidecars.ps1,scripts/manage-gpu-sidecars.ps1,script-exec,486
