prPct,nightlyPct,green,yellow,red
98,29,8,5,4
98,29,8,5,4
98,29,8,5,4
98,29,8,5,4
98,29,8,5,4
98,29,8,5,4
98,29,8,5,4
98,29,8,5,4
98,29,8,5,4
98,29,8,5,4
98,29,8,5,4
98,29,8,5,4
98,29,8,5,4
98,29,8,5,4
98,29,8,5,4
98,29,8,5,4
98,29,8,5,4
98,29,8,5,4
98,29,8,5,4
98,29,8,5,4
98,29,8,5,4
98,29,8,5,4
98,29,8,5,4
98,29,8,5,4
98,29,8,5,4
98,29,8,5,4
98,29,8,5,4
98,29,8,5,4
0,0,10,4,2
0,0,10,4,2
0,0,10,4,2
0,0,10,4,2
0,0,10,4,2
0,0,10,4,2
0,0,10,4,2
0,0,10,4,2
0,0,10,4,2
0,0,10,4,2
0,0,10,4,2
0,0,10,4,2
0,0,10,4,2
0,0,10,4,2
0,0,10,4,2
0,0,10,4,2
0,0,10,4,2
0,0,10,4,2
0,0,10,4,2
0,0,10,4,2
0,0,10,4,2
0,0,10,4,2
